Date,Total (MWh),Hydraulic Turbine (MWh),Combustible Fuels (MWh),Wind Turbine (MWh),Solar (MWh),Other (MWh)
2023-01,7216818,132837,6069463,947954,66563,1
2023-02,5975435,90543,4827865,960901,96125,1
2023-03,6181927,99136,5267835,599461,215494,1
2023-04,6030834,115592,4859706,832430,223105,1
2023-05,5809942,211222,4675595,629387,293737,1
2023-06,5747932,307810,4525999,623747,289039,1337
2023-07,6625233,274654,5438539,596312,315727,1
2023-08,6527172,199883,5399752,645238,282260,39
2023-09,6202782,171093,5056895,751339,223128,327
2023-10,6658168,126766,5428297,973740,129260,105
2023-11,7089647,127211,5546969,1319223,92217,4027
2023-12,7128923,107509,5448853,1486027,67344,19190
2024-01,7720453,160296,6373021,1080596,90009,16531
2024-02,6444281,102605,5150959,1016363,166180,8174
2024-03,6380195,87617,5107793,956545,226825,1415
2024-04,5896356,102639,4197190,1299847,284219,12461
2024-05,5935601,138806,4471857,1010453,298676,15809
2024-06,5733946,163183,4300323,907838,351059,11543
2024-07,7352708,244628,5868798,815473,405346,18463
2024-08,6730423,180732,5368542,837537,326283,17329
2024-09,6690883,179921,5208410,1004061,287778,10713
2024-10,7161106,165857,5384902,1390477,209753,10117
2024-11,6917022,164866,5575340,1087054,74788,14974
2024-12,7774280,135118,6125779,1424950,71198,17235
2025-01,7911626,136020,6006210,1636689,107023,25684
2025-02,7012600,148517,5534548,1140290,165694,23551
2025-03,7412016,110582,5805273,1202630,266447,27084
2025-04,6686619,121538,4896914,1271033,380349,16785
2025-05,6672068,195844,4752013,1243954,455521,24736
2025-06,6689194,246492,4926360,1027894,468834,19614
2025-07,7256739,280591,5633375,885039,436510,21224
2025-08,7160751,258064,5553340,879076,451832,18439
2025-09,6964077,200248,5401550,990430,356452,15397
2025-10,7390215,136048,5398374,1582960,255098,17735
2025-11,7364100,119439,5647607,1459521,117235,20298
