date_he,forecast_price,actual_price,forecast_ail,actual_ail,ail_diff
2022-11-01 01:00:00,69.92,68.27,9317,9319,-2
2022-11-01 02:00:00,66.19,66.24,9243,9206,37
2022-11-01 03:00:00,64.99,67.58,9140,9118,22
2022-11-01 04:00:00,67.81,91.73,9112,9092,20
2022-11-01 05:00:00,99.33,118.89,9113,9091,22
2022-11-01 06:00:00,104.11,121.03,9221,9288,-67
2022-11-01 07:00:00,97.81,121.68,9623,9701,-78
2022-11-01 08:00:00,298.02,155.76,10157,10128,29
2022-11-01 09:00:00,187.25,145.0,10259,10300,-41
2022-11-01 10:00:00,178.93,274.58,10289,10367,-78
2022-11-01 11:00:00,201.2,215.07,10297,10267,30
2022-11-01 12:00:00,133.33,166.44,10241,10257,-16
2022-11-01 13:00:00,167.4,162.28,10263,10282,-19
2022-11-01 14:00:00,187.25,197.89,10316,10342,-26
2022-11-01 15:00:00,187.25,265.66,10309,10253,56
2022-11-01 16:00:00,615.22,500.0,10231,10203,28
2022-11-01 17:00:00,620.47,508.9,10290,10255,35
2022-11-01 18:00:00,615.22,609.85,10285,10355,-70
2022-11-01 19:00:00,677.95,609.16,10458,10373,85
2022-11-01 20:00:00,513.31,504.63,10280,10263,17
2022-11-01 21:00:00,311.48,228.31,10147,10090,57
2022-11-01 22:00:00,105.76,82.4,9943,10017,-74
2022-11-01 23:00:00,79.88,72.57,9831,9866,-35
2022-11-02 00:00:00,77.95,78.44,9617,9608,9
2022-11-02 01:00:00,79.1,84.03,9465,9467,-2
2022-11-02 02:00:00,94.31,76.02,9399,9439,-40
2022-11-02 03:00:00,75.21,75.26,9384,9384,0
2022-11-02 04:00:00,75.15,74.86,9384,9361,23
2022-11-02 05:00:00,75.19,75.06,9417,9398,19
2022-11-02 06:00:00,78.25,84.12,9547,9547,0
2022-11-02 07:00:00,148.55,86.55,9879,9925,-46
2022-11-02 08:00:00,98.56,83.19,10304,10335,-31
2022-11-02 09:00:00,75.18,77.56,10443,10532,-89
2022-11-02 10:00:00,91.3,111.72,10512,10590,-78
2022-11-02 11:00:00,94.61,96.96,10623,10700,-77
2022-11-02 12:00:00,93.01,94.12,10362,10749,-387
2022-11-02 13:00:00,483.05,80.0,10684,10771,-87
2022-11-02 14:00:00,74.44,75.79,10771,10766,5
2022-11-02 15:00:00,75.76,81.62,10729,10704,25
2022-11-02 16:00:00,85.26,462.17,10721,10663,58
2022-11-02 17:00:00,518.18,489.73,10698,10637,61
2022-11-02 18:00:00,91.16,213.85,10661,10691,-30
2022-11-02 19:00:00,164.63,480.19,10804,10738,66
2022-11-02 20:00:00,553.29,534.53,10675,10661,14
2022-11-02 21:00:00,744.2,624.86,10509,10426,83
2022-11-02 22:00:00,307.36,188.87,10212,10250,-38
2022-11-02 23:00:00,73.32,107.4,10074,10064,10
2022-11-03 00:00:00,79.21,77.19,9861,9863,-2
2022-11-03 01:00:00,84.77,79.91,9700,9637,63
2022-11-03 02:00:00,78.39,80.37,9550,9536,14
2022-11-03 03:00:00,212.92,124.51,9501,9506,-5
2022-11-03 04:00:00,142.92,140.58,9512,9448,64
2022-11-03 05:00:00,151.46,169.83,9515,9431,84
2022-11-03 06:00:00,729.2,676.94,9571,9531,40
2022-11-03 07:00:00,687.45,771.63,9829,9873,-44
2022-11-03 08:00:00,589.88,737.52,10279,10346,-67
2022-11-03 09:00:00,775.22,791.47,10528,10551,-23
2022-11-03 10:00:00,96.92,335.63,10540,10513,27
2022-11-03 11:00:00,95.01,81.31,10522,10552,-30
2022-11-03 12:00:00,63.45,59.38,10553,10635,-82
2022-11-03 13:00:00,56.41,55.18,10625,10699,-74
2022-11-03 14:00:00,56.83,52.04,10678,10672,6
2022-11-03 15:00:00,54.61,47.83,10641,10663,-22
2022-11-03 16:00:00,45.38,45.02,10664,10678,-14
2022-11-03 17:00:00,44.47,46.14,10758,10716,42
2022-11-03 18:00:00,56.46,64.9,10736,10736,0
2022-11-03 19:00:00,78.19,77.69,10848,10880,-32
2022-11-03 20:00:00,77.94,75.88,10844,10837,7
2022-11-03 21:00:00,63.46,72.21,10713,10720,-7
2022-11-03 22:00:00,69.62,74.45,10517,10567,-50
2022-11-03 23:00:00,57.55,58.8,10310,10242,68
2022-11-04 00:00:00,61.42,61.97,10004,9982,22
2022-11-04 01:00:00,60.79,60.48,9819,9799,20
2022-11-04 02:00:00,71.35,64.2,9703,9658,45
2022-11-04 03:00:00,55.09,55.09,9564,9546,18
2022-11-04 04:00:00,60.0,68.73,9552,9582,-30
2022-11-04 05:00:00,54.83,55.17,9629,9607,22
2022-11-04 06:00:00,58.11,56.48,9729,9743,-14
2022-11-04 07:00:00,72.67,74.84,10060,10097,-37
2022-11-04 08:00:00,63.12,71.61,10450,10541,-91
2022-11-04 09:00:00,80.0,79.5,10720,10731,-11
2022-11-04 10:00:00,74.89,64.43,10727,10729,-2
2022-11-04 11:00:00,53.15,51.58,10707,10765,-58
2022-11-04 12:00:00,36.63,44.45,10697,10700,-3
